id,proba,label
95720,0.9999991655349731,1
46021,0.9999997615814209,1
15260,4.016902039438719e-06,0
51248,2.2412922362491372e-07,0
36098,0.9999954700469971,1
39704,2.7753205813496606e-06,0
46279,1.4186178987074527e-06,0
17932,0.9999995231628418,1
34518,3.470974888841738e-06,0
59801,1.3551980373449624e-05,0
56183,0.9999868869781494,1
23761,8.539237796867383e-07,0
85026,0.999984622001648,1
41706,3.913989417014818e-07,0
6531,6.178250373523042e-07,0
20165,1.0598678272799589e-06,0
43725,0.9999934434890747,1
65908,6.279737135628238e-06,0
54201,2.098927325278055e-07,0
4813,0.9999827146530151,1
20691,0.9999958276748657,1
25310,0.9999998807907104,1
94251,0.9999997615814209,1
37965,0.999808132648468,1
25837,1.5932327812606673e-07,0
50462,0.9999915361404419,1
40627,0.9999997615814209,1
32971,8.815849810162035e-07,0
3547,8.018476364668459e-06,0
7618,5.035245521867182e-06,0
48917,0.9999943971633911,1
79024,0.9999998807907104,1
63812,1.9037494212170714e-06,0
92876,0.5127335786819458,1
81956,1.243252654603566e-06,0
70519,9.069639190784073e-07,0
10985,1.246576857738546e-06,0
63105,4.695578900282271e-05,0
73198,6.717115752508107e-07,0
36248,0.9999995231628418,1
5398,0.9999988079071045,1
31295,4.924856966681546e-07,0
24051,3.9289978303713724e-05,0
12358,2.0808456611121073e-06,0
69130,3.1958595627656905e-06,0
79321,0.9999953508377075,1
5612,2.2264262952376157e-05,0
70284,1.8919396325145499e-06,0
71823,9.876023341348628e-07,0
71354,1.0805093552335165e-05,0
3874,0.9999959468841553,1
92308,3.2186403586820234e-06,0
20739,1.1113057496459078e-07,0
25614,1.3026705346419476e-05,0
95103,5.686478743882617e-06,0
26174,0.9999974966049194,1
4735,7.155481966947264e-07,0
75943,2.3845996111049317e-06,0
98243,0.9999963045120239,1
48930,0.9999995231628418,1
63201,4.1684231177896436e-07,0
14083,0.9999376535415649,1
46075,0.9999994039535522,1
26379,1.6702030052329064e-06,0
34178,2.0831628262385493e-06,0
56189,1.7612078409001697e-06,0
86431,4.548705589968449e-07,0
6291,6.058878625481157e-07,0
93572,0.9999892711639404,1
50271,4.84853671878227e-07,0
7356,1.3254563100417727e-06,0
20931,2.2398435817194695e-07,0
42173,6.473749749602575e-07,0
65981,0.9999997615814209,1
91083,5.882348432351137e-06,0
26371,1.0953188223083998e-07,0
86725,0.9999966621398926,1
96417,3.2939187804004177e-06,0
47309,4.879620519204764e-06,0
76450,1.0235157787974458e-06,0
48639,4.174356490693754e-06,0
93286,1.1614284289862553e-07,0
10976,2.0609429896012443e-07,0
70948,0.9999747276306152,1
61538,1.905497271081913e-07,0
51789,9.366200401927927e-07,0
14327,4.287580566142424e-07,0
68309,0.9999994039535522,1
45197,1.7799387705963454e-06,0
15037,0.9999897480010986,1
